url,source_file,category,title,h1,canonical,robots,word_count,image_count,unique_search_intent_score_0_5,unique_search_intent_note,unique_firsthand_information_score_0_5,original_studio_imagery_score_0_5,original_artist_commentary_score_0_5,unique_factual_information_score_0_5,inbound_internal_links,overlap_score_0_5,overlap_level,highest_overlap_url,commercial_usefulness_score_0_5,local_usefulness_score_0_5,deserves_to_exist_without_google_score_0_5,classification,recommended_target_url,notes
https://workofarttattoo.com/artists_build/katelyn-cole.html,artists_build/katelyn-cole.html,legacy-artist-build,Female Piercer Las Vegas | Katelyn Cole | Work of Art,Katelyn Cole — Female Piercer in Las Vegas,https://workofarttattoo.com/artists/katelyn-cole/,"index, follow, max-snippet:-1, max-image-preview:large",1864,22,1,legacy duplicate artist page,5,5,5,5,0,4.5,high,https://workofarttattoo.com/artists/katelyn-cole/,3,4,4,301,https://workofarttattoo.com/artists/katelyn-cole/,legacy build/raw artist duplicate; public only as build artifact; canonical differs from public URL; map redirect after confirming target
https://workofarttattoo.com/artists_build/teralyn.html,artists_build/teralyn.html,legacy-artist-build,Teralyn | Fine Line Tattoo Artist Las Vegas | Work of Art,Teralyn,https://workofarttattoo.com/artists/teralyn/,"index, follow, max-snippet:-1, max-image-preview:large",204,1,1,legacy duplicate artist page,2,4,3,2,0,4.5,high,https://workofarttattoo.com/artists/teralyn/,3,2,3,301,https://workofarttattoo.com/artists/teralyn/,legacy build/raw artist duplicate; public only as build artifact; canonical differs from public URL; map redirect after confirming target; thin page
https://workofarttattoo.com/artists_raw/joshua.raw.html,artists_raw/joshua.raw.html,legacy-artist-build,Joshua Cole - Best Black & Grey Realism Tattoo Artist in Las Vegas | Work of Art Tattoo,Joshua Cole - Best Black & Grey Realism Tattoo Artist in Las Vegas,,none,1206,36,3,legacy duplicate artist page,1,2,5,4,0,1.9,low-medium,https://workofarttattoo.com/artists_build/joshua-cole.html,2,2,3,301,https://workofarttattoo.com/artists/,legacy build/raw artist duplicate; public only as build artifact
https://workofarttattoo.com/artists_raw/katelyn.raw.html,artists_raw/katelyn.raw.html,legacy-artist-build,Katelyn Cole - Best Body Piercer & Fine Line Artist in Las Vegas | Work of Art Tattoo,Katelyn Cole - Best Body Piercer & Fine Line Artist in Las Vegas,,none,1123,9,3,legacy duplicate artist page,4,2,4,4,0,1.4,low,https://workofarttattoo.com/artists_build/katelyn-cole.html,3,2,3,301,https://workofarttattoo.com/artists/,legacy build/raw artist duplicate; public only as build artifact
https://workofarttattoo.com/best_fine_line_tattoos_in_vegas_ultimate_authority_guide/,best_fine_line_tattoos_in_vegas_ultimate_authority_guide/code.html,tattoo-style-pricing,Fine Line Tattoos in Vegas — Joshua Cole | Work of Art Las Vegas | Work of Art,Fine Line Tattoos in Vegas,https://workofarttattoo.com/best_fine_line_tattoos_in_vegas_ultimate_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",881,8,3,research tattoo style/pricing and choose artist,5,5,5,4,3,1.3,low,https://workofarttattoo.com/fine_line_tattoos_las_vegas_master_authority_guide/,4,4,4,MERGE,https://workofarttattoo.com/artists/joshua-cole/,generated authority-style page overlaps artist/service pages; consolidate proof and commentary
https://workofarttattoo.com/best_piercing_shop_las_vegas_updated_jewelry_standards/,best_piercing_shop_las_vegas_updated_jewelry_standards/code.html,piercing-placement,Tattoo and Piercing Shop Near the Strip Las Vegas | Work of Art,Ear Piercing & Body Piercing — Las Vegas,https://workofarttattoo.com/best_piercing_shop_las_vegas_updated_jewelry_standards/,"index, follow, max-snippet:-1, max-image-preview:large",1340,8,3,"research piercing placement, healing, jewelry, and book",5,5,5,4,454,2.6,medium,https://workofarttattoo.com/body_piercing_guide_las_vegas/,5,4,4,IMPROVE,https://workofarttattoo.com/piercing_types_las_vegas_authority_hub/,"placement page can stay only with anatomy-specific advice, jewelry examples, photos, and Katelyn/Katie commentary"
https://workofarttattoo.com/best_tattoo_styles_for_sleeves_large_scale_project_hub/,best_tattoo_styles_for_sleeves_large_scale_project_hub/code.html,tattoo-style-pricing,Sleeve Tattoo Styles & Planning | Joshua Cole Las Vegas | Work of Art,Best Tattoo Styles For Sleeves: what to know before you plan,https://workofarttattoo.com/best_tattoo_styles_for_sleeves_large_scale_project_hub/,"index, follow, max-snippet:-1, max-image-preview:large",1168,7,3,research tattoo style/pricing and choose artist,4,2,5,3,470,1.0,low,https://workofarttattoo.com/artists_raw/joshua.raw.html,5,4,4,IMPROVE,,needs stronger original portfolio examples/commentary
https://workofarttattoo.com/body_piercing_guide_las_vegas/,body_piercing_guide_las_vegas/code.html,piercing-placement,Body Piercing Las Vegas | Consults Near the Strip | Work of Art,Body Piercing Guide — Las Vegas,https://workofarttattoo.com/body_piercing_guide_las_vegas/,"index, follow, max-snippet:-1, max-image-preview:large",809,6,3,"research piercing placement, healing, jewelry, and book",5,5,5,4,438,2.6,medium,https://workofarttattoo.com/best_piercing_shop_las_vegas_updated_jewelry_standards/,5,4,4,IMPROVE,,hub or major category page
https://workofarttattoo.com/bridge_piercing_las_vegas_authority_guide/,bridge_piercing_las_vegas_authority_guide/code.html,piercing-placement,Bridge Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Bridge Piercing Guide,https://workofarttattoo.com/bridge_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1788,6,1,"research piercing placement, healing, jewelry, and book",5,5,5,5,7,3.8,high,https://workofarttattoo.com/conch_piercing_las_vegas_authority_guide/,4,4,4,IMPROVE,https://workofarttattoo.com/piercing_types_las_vegas_authority_hub/,"placement page can stay only with anatomy-specific advice, jewelry examples, photos, and Katelyn/Katie commentary"
https://workofarttattoo.com/cartilage_piercing_las_vegas_authority_guide/,cartilage_piercing_las_vegas_authority_guide/code.html,piercing-placement,"Cartilage (Overview) Piercing Las Vegas — Healing, Pain & Aftercare | Work of Art","Cartilage (Overview) Piercing Las Vegas — Healing, Pain & Aftercare",https://workofarttattoo.com/cartilage_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1205,6,3,"research piercing placement, healing, jewelry, and book",5,5,5,4,2,2.5,medium,https://workofarttattoo.com/ear_piercing_las_vegas_authority_guide/,4,4,4,IMPROVE,https://workofarttattoo.com/piercing_types_las_vegas_authority_hub/,"placement page can stay only with anatomy-specific advice, jewelry examples, photos, and Katelyn/Katie commentary"
https://workofarttattoo.com/,code.html,core-home,Tattoo and Piercing Shop Near the Strip | Work of Art Las Vegas,You're welcome here — questions included.,https://workofarttattoo.com/,"index, follow, max-snippet:-1, max-image-preview:large",1990,25,3,choose/book tattoo or piercing studio near Strip,5,5,5,5,2999,5,high,https://workofarttattoo.com/home_work_of_art_tattoo_piercing/,5,4,5,KEEP,,core studio entry point
https://workofarttattoo.com/collagen_skin_science_las_vegas_authority_guide/,collagen_skin_science_las_vegas_authority_guide/code.html,skin-science,Collagen — Structure That Holds Your Tattoo Together | Work of Art,Collagen — Structure That Holds Your Tattoo Together,https://workofarttattoo.com/collagen_skin_science_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1169,6,3,understand skin/tattoo science before booking,5,5,5,4,7,1.0,low,https://workofarttattoo.com/aging_skin_skin_science_las_vegas_authority_guide/,3,4,4,MERGE,https://workofarttattoo.com/skin_science_tattoo_dermatology_authority_guide/,science subpage is informational but thin as standalone; consolidate unless clinically differentiated
https://workofarttattoo.com/conch_piercing_las_vegas_authority_guide/,conch_piercing_las_vegas_authority_guide/code.html,piercing-placement,Conch Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Conch Piercing Guide,https://workofarttattoo.com/conch_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1941,6,1,"research piercing placement, healing, jewelry, and book",5,5,5,5,20,3.8,high,https://workofarttattoo.com/bridge_piercing_las_vegas_authority_guide/,5,4,4,IMPROVE,https://workofarttattoo.com/piercing_types_las_vegas_authority_hub/,"placement page can stay only with anatomy-specific advice, jewelry examples, photos, and Katelyn/Katie commentary"
https://workofarttattoo.com/cover-up-tattoos-las-vegas/,cover-up-tattoos-las-vegas/code.html,tattoo-style-pricing,Cover Up Tattoo Artist Las Vegas | Joshua Cole | Work of Art,Cover Up Tattoos Las Vegas,https://workofarttattoo.com/cover-up-tattoos-las-vegas/,"index, follow, max-snippet:-1, max-image-preview:large",1988,11,1,research tattoo style/pricing and choose artist,5,5,5,5,440,4.5,high,https://workofarttattoo.com/cover_up_tattoos_las_vegas_master_authority_guide/,5,4,4,KEEP,,commercial tattoo style/pricing intent
https://workofarttattoo.com/cover_up_tattoos_las_vegas_master_authority_guide/,cover_up_tattoos_las_vegas_master_authority_guide/code.html,tattoo-style-pricing,Tattoo Cover-Ups — Joshua Cole | Work of Art Las Vegas | Work of Art,Cover Up Tattoos Las Vegas,https://workofarttattoo.com/cover-up-tattoos-las-vegas/,"index, follow, max-snippet:-1, max-image-preview:large",1868,11,1,research tattoo style/pricing and choose artist,5,5,5,5,36,4.5,high,https://workofarttattoo.com/cover-up-tattoos-las-vegas/,5,4,4,301,https://workofarttattoo.com/cover-up-tattoos-las-vegas/,generated authority-style page overlaps artist/service pages; consolidate proof and commentary; canonical differs from public URL; map redirect after confirming target
https://workofarttattoo.com/daith_piercing_las_vegas_authority_guide/,daith_piercing_las_vegas_authority_guide/code.html,piercing-placement,Daith Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Daith Piercing Guide,https://workofarttattoo.com/daith_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1961,6,1,"research piercing placement, healing, jewelry, and book",5,5,5,5,14,3.8,high,https://workofarttattoo.com/bridge_piercing_las_vegas_authority_guide/,5,4,4,IMPROVE,https://workofarttattoo.com/piercing_types_las_vegas_authority_hub/,"placement page can stay only with anatomy-specific advice, jewelry examples, photos, and Katelyn/Katie commentary"
https://workofarttattoo.com/dermis_skin_science_las_vegas_authority_guide/,dermis_skin_science_las_vegas_authority_guide/code.html,skin-science,The Dermis — Where Tattoo Ink Lives | Work of Art,The Dermis — Where Tattoo Ink Lives,https://workofarttattoo.com/dermis_skin_science_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1211,6,3,understand skin/tattoo science before booking,5,5,5,4,7,0.7,low,https://workofarttattoo.com/macrophages_skin_science_las_vegas_authority_guide/,3,4,4,MERGE,https://workofarttattoo.com/skin_science_tattoo_dermatology_authority_guide/,science subpage is informational but thin as standalone; consolidate unless clinically differentiated
https://workofarttattoo.com/diabetes_skin_science_las_vegas_authority_guide/,diabetes_skin_science_las_vegas_authority_guide/code.html,skin-science,Diabetes — Skin Healing & Tattoo Considerations | Work of Art,Diabetes — Skin Healing & Tattoo Considerations,https://workofarttattoo.com/diabetes_skin_science_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1193,6,3,understand skin/tattoo science before booking,5,5,5,4,1,1.0,low,https://workofarttattoo.com/eczema_skin_science_las_vegas_authority_guide/,3,4,4,MERGE,https://workofarttattoo.com/skin_science_tattoo_dermatology_authority_guide/,science subpage is informational but thin as standalone; consolidate unless clinically differentiated
https://workofarttattoo.com/ear_curation_piercing_las_vegas_authority_guide/,ear_curation_piercing_las_vegas_authority_guide/code.html,piercing-placement,Ear Curation Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Ear Curation Piercing Guide,https://workofarttattoo.com/ear_curation_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1769,6,2,"research piercing placement, healing, jewelry, and book",5,5,5,5,30,2.9,medium,https://workofarttattoo.com/industrial_piercing_las_vegas_authority_guide/,5,4,4,IMPROVE,https://workofarttattoo.com/piercing_types_las_vegas_authority_hub/,"placement page can stay only with anatomy-specific advice, jewelry examples, photos, and Katelyn/Katie commentary"
https://workofarttattoo.com/ear_lobe_piercing_las_vegas_authority_guide/,ear_lobe_piercing_las_vegas_authority_guide/code.html,piercing-placement,Lobe Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Lobe Piercing Guide,https://workofarttattoo.com/ear_lobe_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",2008,6,2,"research piercing placement, healing, jewelry, and book",5,5,5,5,8,3.3,medium,https://workofarttattoo.com/bridge_piercing_las_vegas_authority_guide/,4,4,4,IMPROVE,https://workofarttattoo.com/piercing_types_las_vegas_authority_hub/,"placement page can stay only with anatomy-specific advice, jewelry examples, photos, and Katelyn/Katie commentary"
https://workofarttattoo.com/ear_piercing_guide_las_vegas/,ear_piercing_guide_las_vegas/code.html,piercing-placement,Ear Piercing Las Vegas | Female Piercer Near the Strip | Work of Art,Ear Piercing Guide — Las Vegas,https://workofarttattoo.com/ear_piercing_guide_las_vegas/,"index, follow, max-snippet:-1, max-image-preview:large",991,6,3,"research piercing placement, healing, jewelry, and book",5,5,5,4,468,2.1,low-medium,https://workofarttattoo.com/piercing-guide-las-vegas/,5,4,4,IMPROVE,,hub or major category page
https://workofarttattoo.com/ear_piercing_las_vegas_authority_guide/,ear_piercing_las_vegas_authority_guide/code.html,piercing-placement,"Ear Piercing Las Vegas — Healing, Pain & Aftercare | Work of Art","Ear Piercing Las Vegas — Healing, Pain & Aftercare",https://workofarttattoo.com/ear_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1148,6,1,"research piercing placement, healing, jewelry, and book",5,5,5,4,0,3.9,high,https://workofarttattoo.com/lip_piercing_las_vegas_authority_guide/,4,4,4,IMPROVE,https://workofarttattoo.com/piercing_types_las_vegas_authority_hub/,"placement page can stay only with anatomy-specific advice, jewelry examples, photos, and Katelyn/Katie commentary"
https://workofarttattoo.com/eczema_skin_science_las_vegas_authority_guide/,eczema_skin_science_las_vegas_authority_guide/code.html,skin-science,Eczema (Atopic Dermatitis) & Tattoos | Work of Art,Eczema (Atopic Dermatitis) & Tattoos,https://workofarttattoo.com/eczema_skin_science_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1174,6,3,understand skin/tattoo science before booking,5,5,5,4,3,1.2,low,https://workofarttattoo.com/psoriasis_skin_science_las_vegas_authority_guide/,3,4,4,MERGE,https://workofarttattoo.com/skin_science_tattoo_dermatology_authority_guide/,science subpage is informational but thin as standalone; consolidate unless clinically differentiated
https://workofarttattoo.com/epidermis_skin_science_las_vegas_authority_guide/,epidermis_skin_science_las_vegas_authority_guide/code.html,skin-science,The Epidermis — Your Skin's Outer Shield | Work of Art,The Epidermis — Your Skin's Outer Shield,https://workofarttattoo.com/epidermis_skin_science_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1303,6,3,understand skin/tattoo science before booking,5,5,5,4,5,0.9,low,https://workofarttattoo.com/why_tattoos_stay_forever_skin_science_las_vegas_authority_guide/,3,4,4,MERGE,https://workofarttattoo.com/skin_science_tattoo_dermatology_authority_guide/,science subpage is informational but thin as standalone; consolidate unless clinically differentiated
https://workofarttattoo.com/eyebrow_piercing_las_vegas_authority_guide/,eyebrow_piercing_las_vegas_authority_guide/code.html,piercing-placement,Eyebrow Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Eyebrow Piercing Guide,https://workofarttattoo.com/eyebrow_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1817,6,1,"research piercing placement, healing, jewelry, and book",5,5,5,5,7,3.8,high,https://workofarttattoo.com/bridge_piercing_las_vegas_authority_guide/,4,4,4,IMPROVE,https://workofarttattoo.com/piercing_types_las_vegas_authority_hub/,"placement page can stay only with anatomy-specific advice, jewelry examples, photos, and Katelyn/Katie commentary"
https://workofarttattoo.com/facial_piercing_guide_las_vegas/,facial_piercing_guide_las_vegas/code.html,piercing-placement,Facial Piercing Las Vegas | Walk-Ins Near the Strip | Work of Art,Facial Piercing Guide — Las Vegas,https://workofarttattoo.com/facial_piercing_guide_las_vegas/,"index, follow, max-snippet:-1, max-image-preview:large",867,6,3,"research piercing placement, healing, jewelry, and book",5,5,5,4,445,2.5,medium,https://workofarttattoo.com/body_piercing_guide_las_vegas/,5,4,4,IMPROVE,,hub or major category page
https://workofarttattoo.com/fine_line_tattoos_las_vegas_master_authority_guide/,fine_line_tattoos_las_vegas_master_authority_guide/code.html,tattoo-style-pricing,Fine Line Tattoos — Joshua Cole | Work of Art Las Vegas | Work of Art,"Fine line tattoos: needle depth, ink, and healing",https://workofarttattoo.com/fine_line_tattoos_las_vegas_master_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1843,9,3,research tattoo style/pricing and choose artist,5,5,5,5,37,1.5,low-medium,https://workofarttattoo.com/tattoo-aftercare-desert-climate/,5,4,4,MERGE,https://workofarttattoo.com/artists/joshua-cole/,generated authority-style page overlaps artist/service pages; consolidate proof and commentary
https://workofarttattoo.com/flash_art_deals_under_100/,flash_art_deals_under_100/code.html,tattoo-style-pricing,Flash Tattoo Deals Under $100 | Palm-Size | Work of Art Las Vegas,Flash art deals under $100,https://workofarttattoo.com/flash_art_deals_under_100/,"index, follow, max-snippet:-1, max-image-preview:large",1288,18,3,research tattoo style/pricing and choose artist,2,5,3,3,4,0.9,low,https://workofarttattoo.com/artists/teralyn/,4,4,4,IMPROVE,,commercial tattoo style/pricing intent
https://workofarttattoo.com/flat_piercing_las_vegas_authority_guide/,flat_piercing_las_vegas_authority_guide/code.html,piercing-placement,Flat Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Flat Piercing Guide,https://workofarttattoo.com/flat_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1938,6,1,"research piercing placement, healing, jewelry, and book",5,5,5,5,13,3.8,high,https://workofarttattoo.com/bridge_piercing_las_vegas_authority_guide/,5,4,4,IMPROVE,https://workofarttattoo.com/piercing_types_las_vegas_authority_hub/,"placement page can stay only with anatomy-specific advice, jewelry examples, photos, and Katelyn/Katie commentary"
https://workofarttattoo.com/forward_helix_piercing_las_vegas_authority_guide/,forward_helix_piercing_las_vegas_authority_guide/code.html,piercing-placement,Forward Helix Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Forward Helix Piercing Guide,https://workofarttattoo.com/forward_helix_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1963,6,2,"research piercing placement, healing, jewelry, and book",5,5,5,5,5,3.1,medium,https://workofarttattoo.com/helix_piercing_las_vegas_authority_guide/,4,4,4,IMPROVE,https://workofarttattoo.com/piercing_types_las_vegas_authority_hub/,"placement page can stay only with anatomy-specific advice, jewelry examples, photos, and Katelyn/Katie commentary"
https://workofarttattoo.com/frog_eyes_tongue_piercing_las_vegas_authority_guide/,frog_eyes_tongue_piercing_las_vegas_authority_guide/code.html,piercing-placement,Frog Eyes (Venom / Surface Tongue) Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Frog Eyes (Venom / Surface Tongue) Piercing Guide,https://workofarttattoo.com/frog_eyes_tongue_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1355,6,3,"research piercing placement, healing, jewelry, and book",5,5,5,4,4,2.0,low-medium,https://workofarttattoo.com/tongue_piercing_las_vegas_authority_guide/,4,4,4,IMPROVE,https://workofarttattoo.com/piercing_types_las_vegas_authority_hub/,"placement page can stay only with anatomy-specific advice, jewelry examples, photos, and Katelyn/Katie commentary"
https://workofarttattoo.com/genital_piercing_las_vegas_authority_guide/,genital_piercing_las_vegas_authority_guide/code.html,piercing-placement,Genital Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Genital Piercing Guide,https://workofarttattoo.com/genital_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",1328,6,1,"research piercing placement, healing, jewelry, and book",5,5,5,4,2,3.8,high,https://workofarttattoo.com/bridge_piercing_las_vegas_authority_guide/,4,4,4,IMPROVE,https://workofarttattoo.com/piercing_types_las_vegas_authority_hub/,"placement page can stay only with anatomy-specific advice, jewelry examples, photos, and Katelyn/Katie commentary"
https://workofarttattoo.com/geo_hub_ai_source_of_truth_work_of_art/,geo_hub_ai_source_of_truth_work_of_art/code.html,utility-commercial,GEO Hub & AI Source of Truth - Work of Art Tattoo & Piercing,Digital Knowledge Base & Studio Source Profile,https://workofarttattoo.com/geo_hub_ai_source_of_truth_work_of_art/,"index, follow, max-snippet:-1, max-image-preview:large",1116,4,5,"complete booking, contact, review, media, or reference task",5,5,5,4,451,0.6,low,https://workofarttattoo.com/knowledge/,5,4,5,KEEP,,operational/commercial utility
https://workofarttattoo.com/healed_black_grey_tattoos_las_vegas/,healed_black_grey_tattoos_las_vegas/code.html,healed-gallery,Healed Black & Grey Tattoos | Work of Art,Healed Black & Grey Tattoos in Las Vegas,https://workofarttattoo.com/healed_black_grey_tattoos_las_vegas/,"index, follow, max-snippet:-1, max-image-preview:large",841,4,3,inspect healed tattoo proof by style,5,5,5,4,24,0.9,low,https://workofarttattoo.com/joshua_oil_painting_black_grey_tattoo_aging_las_vegas/,4,4,4,IMPROVE,https://workofarttattoo.com/healed_tattoo_gallery_las_vegas/,subcollection needs enough distinct healed examples; otherwise merge to healed gallery
https://workofarttattoo.com/healed_color_tattoos_las_vegas/,healed_color_tattoos_las_vegas/code.html,healed-gallery,Healed Color Tattoos | Work of Art,Healed Color Tattoos,https://workofarttattoo.com/healed_color_tattoos_las_vegas/,"index, follow, max-snippet:-1, max-image-preview:large",652,4,3,inspect healed tattoo proof by style,5,5,3,3,19,1.1,low,https://workofarttattoo.com/las-vegas-tattoo-healing-guide/,4,4,4,IMPROVE,https://workofarttattoo.com/healed_tattoo_gallery_las_vegas/,subcollection needs enough distinct healed examples; otherwise merge to healed gallery
https://workofarttattoo.com/healed_cover_up_tattoos_las_vegas/,healed_cover_up_tattoos_las_vegas/code.html,healed-gallery,Healed Cover-Up Tattoos | Work of Art,Healed Cover-Up Tattoos,https://workofarttattoo.com/healed_cover_up_tattoos_las_vegas/,"index, follow, max-snippet:-1, max-image-preview:large",849,6,3,inspect healed tattoo proof by style,5,5,5,4,22,0.8,low,https://workofarttattoo.com/cover-up-tattoos-las-vegas/,4,4,4,IMPROVE,https://workofarttattoo.com/healed_tattoo_gallery_las_vegas/,subcollection needs enough distinct healed examples; otherwise merge to healed gallery
