asset,number_of_indexable_pages,pages,recommended_use,action
/healed_tattoo_gallery_las_vegas/healed-3-month-roaring-lion-thigh-joshua-cole-las-vegas.png,18,/ | /aging_skin_skin_science_las_vegas_authority_guide/ | /best_fine_line_tattoos_in_vegas_ultimate_authority_guide/ | /collagen_skin_science_las_vegas_authority_guide/ | /dermis_skin_science_las_vegas_authority_guide/ | /diabetes_skin_science_las_vegas_authority_guide/ | /eczema_skin_science_las_vegas_authority_guide/ | /epidermis_skin_science_las_vegas_authority_guide/ | /healed_tattoo_gallery_las_vegas/ | /how-to-choose-a-tattoo-artist/ | /hypodermis_skin_science_las_vegas_authority_guide/ | /macrophages_skin_science_las_vegas_authority_guide/ | /psoriasis_skin_science_las_vegas_authority_guide/ | /scar_tissue_tattoo_skin_science_las_vegas_authority_guide/ | /stretch_marks_skin_science_las_vegas_authority_guide/ | /tattoo-aftercare-desert-climate/ | /tattoo_pain_chart_placement_sensitivity_guide/ | /why_tattoos_stay_forever_skin_science_las_vegas_authority_guide/,Use only where the asset directly proves the page intent,REVIEW_OVERUSE
/healed_tattoo_gallery_las_vegas/fresh-all-seeing-eye-triangle-forearm-joshua-cole-las-vegas.png,17,/aging_skin_skin_science_las_vegas_authority_guide/ | /best_fine_line_tattoos_in_vegas_ultimate_authority_guide/ | /collagen_skin_science_las_vegas_authority_guide/ | /dermis_skin_science_las_vegas_authority_guide/ | /diabetes_skin_science_las_vegas_authority_guide/ | /eczema_skin_science_las_vegas_authority_guide/ | /epidermis_skin_science_las_vegas_authority_guide/ | /fine_line_tattoos_las_vegas_master_authority_guide/ | /how-to-choose-a-tattoo-artist/ | /hypodermis_skin_science_las_vegas_authority_guide/ | /macrophages_skin_science_las_vegas_authority_guide/ | /psoriasis_skin_science_las_vegas_authority_guide/ | /scar_tissue_tattoo_skin_science_las_vegas_authority_guide/ | /stretch_marks_skin_science_las_vegas_authority_guide/ | /tattoo-aftercare-desert-climate/ | /tattoo_pain_chart_placement_sensitivity_guide/ | /why_tattoos_stay_forever_skin_science_las_vegas_authority_guide/,Use only where the asset directly proves the page intent,REVIEW_OVERUSE
/healed_tattoo_gallery_las_vegas/fresh-all-seeing-eye-triangle-forearm-joshua-cole-las-vegas.webp,17,/aging_skin_skin_science_las_vegas_authority_guide/ | /best_fine_line_tattoos_in_vegas_ultimate_authority_guide/ | /collagen_skin_science_las_vegas_authority_guide/ | /dermis_skin_science_las_vegas_authority_guide/ | /diabetes_skin_science_las_vegas_authority_guide/ | /eczema_skin_science_las_vegas_authority_guide/ | /epidermis_skin_science_las_vegas_authority_guide/ | /fine_line_tattoos_las_vegas_master_authority_guide/ | /how-to-choose-a-tattoo-artist/ | /hypodermis_skin_science_las_vegas_authority_guide/ | /macrophages_skin_science_las_vegas_authority_guide/ | /psoriasis_skin_science_las_vegas_authority_guide/ | /scar_tissue_tattoo_skin_science_las_vegas_authority_guide/ | /stretch_marks_skin_science_las_vegas_authority_guide/ | /tattoo-aftercare-desert-climate/ | /tattoo_pain_chart_placement_sensitivity_guide/ | /why_tattoos_stay_forever_skin_science_las_vegas_authority_guide/,Use only where the asset directly proves the page intent,REVIEW_OVERUSE
/healed_tattoo_gallery_las_vegas/healed-3-month-roaring-lion-thigh-joshua-cole-las-vegas.webp,17,/aging_skin_skin_science_las_vegas_authority_guide/ | /best_fine_line_tattoos_in_vegas_ultimate_authority_guide/ | /collagen_skin_science_las_vegas_authority_guide/ | /dermis_skin_science_las_vegas_authority_guide/ | /diabetes_skin_science_las_vegas_authority_guide/ | /eczema_skin_science_las_vegas_authority_guide/ | /epidermis_skin_science_las_vegas_authority_guide/ | /healed_tattoo_gallery_las_vegas/ | /how-to-choose-a-tattoo-artist/ | /hypodermis_skin_science_las_vegas_authority_guide/ | /macrophages_skin_science_las_vegas_authority_guide/ | /psoriasis_skin_science_las_vegas_authority_guide/ | /scar_tissue_tattoo_skin_science_las_vegas_authority_guide/ | /stretch_marks_skin_science_las_vegas_authority_guide/ | /tattoo-aftercare-desert-climate/ | /tattoo_pain_chart_placement_sensitivity_guide/ | /why_tattoos_stay_forever_skin_science_las_vegas_authority_guide/,Use only where the asset directly proves the page intent,REVIEW_OVERUSE
/las-vegas-tattoo-healing-guide/eagle-memorial-calf-fresh-tattoo-las-vegas.png,15,/aging_skin_skin_science_las_vegas_authority_guide/ | /collagen_skin_science_las_vegas_authority_guide/ | /dermis_skin_science_las_vegas_authority_guide/ | /diabetes_skin_science_las_vegas_authority_guide/ | /eczema_skin_science_las_vegas_authority_guide/ | /epidermis_skin_science_las_vegas_authority_guide/ | /healed_color_tattoos_las_vegas/ | /hypodermis_skin_science_las_vegas_authority_guide/ | /las-vegas-tattoo-healing-guide/ | /macrophages_skin_science_las_vegas_authority_guide/ | /psoriasis_skin_science_las_vegas_authority_guide/ | /scar_tissue_tattoo_skin_science_las_vegas_authority_guide/ | /stretch_marks_skin_science_las_vegas_authority_guide/ | /tattoo-aftercare-desert-climate/ | /why_tattoos_stay_forever_skin_science_las_vegas_authority_guide/,Use only where the asset directly proves the page intent,REVIEW_OVERUSE
/las-vegas-tattoo-healing-guide/eagle-memorial-calf-fresh-tattoo-las-vegas.webp,15,/aging_skin_skin_science_las_vegas_authority_guide/ | /collagen_skin_science_las_vegas_authority_guide/ | /dermis_skin_science_las_vegas_authority_guide/ | /diabetes_skin_science_las_vegas_authority_guide/ | /eczema_skin_science_las_vegas_authority_guide/ | /epidermis_skin_science_las_vegas_authority_guide/ | /healed_color_tattoos_las_vegas/ | /hypodermis_skin_science_las_vegas_authority_guide/ | /las-vegas-tattoo-healing-guide/ | /macrophages_skin_science_las_vegas_authority_guide/ | /psoriasis_skin_science_las_vegas_authority_guide/ | /scar_tissue_tattoo_skin_science_las_vegas_authority_guide/ | /stretch_marks_skin_science_las_vegas_authority_guide/ | /tattoo-aftercare-desert-climate/ | /why_tattoos_stay_forever_skin_science_las_vegas_authority_guide/,Use only where the asset directly proves the page intent,REVIEW_OVERUSE
/las-vegas-tattoo-healing-guide/eagle-memorial-calf-fresh-vs-healed-comparison-las-vegas.png,14,/aging_skin_skin_science_las_vegas_authority_guide/ | /collagen_skin_science_las_vegas_authority_guide/ | /dermis_skin_science_las_vegas_authority_guide/ | /diabetes_skin_science_las_vegas_authority_guide/ | /eczema_skin_science_las_vegas_authority_guide/ | /epidermis_skin_science_las_vegas_authority_guide/ | /healed_color_tattoos_las_vegas/ | /hypodermis_skin_science_las_vegas_authority_guide/ | /las-vegas-tattoo-healing-guide/ | /macrophages_skin_science_las_vegas_authority_guide/ | /psoriasis_skin_science_las_vegas_authority_guide/ | /scar_tissue_tattoo_skin_science_las_vegas_authority_guide/ | /stretch_marks_skin_science_las_vegas_authority_guide/ | /why_tattoos_stay_forever_skin_science_las_vegas_authority_guide/,Use only where the asset directly proves the page intent,REVIEW_OVERUSE
/las-vegas-tattoo-healing-guide/eagle-memorial-calf-fresh-vs-healed-comparison-las-vegas.webp,14,/aging_skin_skin_science_las_vegas_authority_guide/ | /collagen_skin_science_las_vegas_authority_guide/ | /dermis_skin_science_las_vegas_authority_guide/ | /diabetes_skin_science_las_vegas_authority_guide/ | /eczema_skin_science_las_vegas_authority_guide/ | /epidermis_skin_science_las_vegas_authority_guide/ | /healed_color_tattoos_las_vegas/ | /hypodermis_skin_science_las_vegas_authority_guide/ | /las-vegas-tattoo-healing-guide/ | /macrophages_skin_science_las_vegas_authority_guide/ | /psoriasis_skin_science_las_vegas_authority_guide/ | /scar_tissue_tattoo_skin_science_las_vegas_authority_guide/ | /stretch_marks_skin_science_las_vegas_authority_guide/ | /why_tattoos_stay_forever_skin_science_las_vegas_authority_guide/,Use only where the asset directly proves the page intent,REVIEW_OVERUSE
/studio_gallery/curated-facial-piercing-jewelry-display-7d759759.png,14,/anti_eyebrow_piercing_las_vegas_authority_guide/ | /artists/katelyn-cole/ | /bridge_piercing_las_vegas_authority_guide/ | /eyebrow_piercing_las_vegas_authority_guide/ | /high_nostril_piercing_las_vegas_authority_guide/ | /labret_piercing_las_vegas_authority_guide/ | /monroe_piercing_las_vegas_authority_guide/ | /nose_piercing_las_vegas_authority_guide/ | /nostril_piercing_las_vegas_authority_guide/ | /philtrum_piercing_las_vegas_authority_guide/ | /septum_piercing_las_vegas_authority_guide/ | /studio_gallery/ | /tongue_piercing_las_vegas_authority_guide/ | /vertical_labret_piercing_las_vegas_authority_guide/,Shared branding/studio asset,ALLOW_SHARED
/studio_gallery/curated-facial-piercing-jewelry-display-7d759759.webp,14,/anti_eyebrow_piercing_las_vegas_authority_guide/ | /artists/katelyn-cole/ | /bridge_piercing_las_vegas_authority_guide/ | /eyebrow_piercing_las_vegas_authority_guide/ | /high_nostril_piercing_las_vegas_authority_guide/ | /labret_piercing_las_vegas_authority_guide/ | /monroe_piercing_las_vegas_authority_guide/ | /nose_piercing_las_vegas_authority_guide/ | /nostril_piercing_las_vegas_authority_guide/ | /philtrum_piercing_las_vegas_authority_guide/ | /septum_piercing_las_vegas_authority_guide/ | /studio_gallery/ | /tongue_piercing_las_vegas_authority_guide/ | /vertical_labret_piercing_las_vegas_authority_guide/,Shared branding/studio asset,ALLOW_SHARED
/home_work_of_art_tattoo_piercing/client-portfolio/roaring-lion-tiger-forearm-realism-las-vegas.png,12,/appointments/ | /best_fine_line_tattoos_in_vegas_ultimate_authority_guide/ | /how-to-choose-a-tattoo-artist/ | /how_much_do_tattoos_cost_in_las_vegas_authority_guide/ | /large_scale_projects_variant_a_authentic_art_rotation/ | /leave-a-review/ | /realism-tattoos-las-vegas/ | /studio-vs-strip-shops/ | /tattoo-aftercare-desert-climate/ | /tattoo_pain_chart_placement_sensitivity_guide/ | /vegas_tattoo_shop_vs_cheap_strip_tattoo_what_you_need_to_know/ | /walk-in-tattoos-las-vegas/,Use only where the asset directly proves the page intent,REVIEW_OVERUSE
/home_work_of_art_tattoo_piercing/client-portfolio/roaring-lion-tiger-forearm-realism-las-vegas.webp,12,/appointments/ | /best_fine_line_tattoos_in_vegas_ultimate_authority_guide/ | /how-to-choose-a-tattoo-artist/ | /how_much_do_tattoos_cost_in_las_vegas_authority_guide/ | /large_scale_projects_variant_a_authentic_art_rotation/ | /leave-a-review/ | /realism-tattoos-las-vegas/ | /studio-vs-strip-shops/ | /tattoo-aftercare-desert-climate/ | /tattoo_pain_chart_placement_sensitivity_guide/ | /vegas_tattoo_shop_vs_cheap_strip_tattoo_what_you_need_to_know/ | /walk-in-tattoos-las-vegas/,Use only where the asset directly proves the page intent,REVIEW_OVERUSE
/studio_gallery/labret-and-eyebrow-piercing-closeup-c6159742.png,11,/anti_eyebrow_piercing_las_vegas_authority_guide/ | /artists/katelyn-cole/ | /bridge_piercing_las_vegas_authority_guide/ | /eyebrow_piercing_las_vegas_authority_guide/ | /labret_piercing_las_vegas_authority_guide/ | /monroe_piercing_las_vegas_authority_guide/ | /nose_piercing_las_vegas_authority_guide/ | /philtrum_piercing_las_vegas_authority_guide/ | /studio_gallery/ | /tongue_piercing_las_vegas_authority_guide/ | /vertical_labret_piercing_las_vegas_authority_guide/,Shared branding/studio asset,ALLOW_SHARED
/studio_gallery/labret-and-eyebrow-piercing-closeup-c6159742.webp,11,/anti_eyebrow_piercing_las_vegas_authority_guide/ | /artists/katelyn-cole/ | /bridge_piercing_las_vegas_authority_guide/ | /eyebrow_piercing_las_vegas_authority_guide/ | /labret_piercing_las_vegas_authority_guide/ | /monroe_piercing_las_vegas_authority_guide/ | /nose_piercing_las_vegas_authority_guide/ | /philtrum_piercing_las_vegas_authority_guide/ | /studio_gallery/ | /tongue_piercing_las_vegas_authority_guide/ | /vertical_labret_piercing_las_vegas_authority_guide/,Shared branding/studio asset,ALLOW_SHARED
/studio_gallery/fresh-upper-cartilage-industrial-bar-2e41fc98.png,10,/anti_tragus_piercing_las_vegas_authority_guide/ | /artists/katelyn-cole/ | /conch_piercing_las_vegas_authority_guide/ | /daith_piercing_las_vegas_authority_guide/ | /forward_helix_piercing_las_vegas_authority_guide/ | /industrial_piercing_las_vegas_authority_guide/ | /orbital_piercing_las_vegas_authority_guide/ | /rook_piercing_las_vegas_authority_guide/ | /snug_piercing_las_vegas_authority_guide/ | /studio_gallery/,Shared branding/studio asset,ALLOW_SHARED
/studio_gallery/fresh-upper-cartilage-industrial-bar-2e41fc98.webp,10,/anti_tragus_piercing_las_vegas_authority_guide/ | /artists/katelyn-cole/ | /conch_piercing_las_vegas_authority_guide/ | /daith_piercing_las_vegas_authority_guide/ | /forward_helix_piercing_las_vegas_authority_guide/ | /industrial_piercing_las_vegas_authority_guide/ | /orbital_piercing_las_vegas_authority_guide/ | /rook_piercing_las_vegas_authority_guide/ | /snug_piercing_las_vegas_authority_guide/ | /studio_gallery/,Shared branding/studio asset,ALLOW_SHARED
/studio_gallery/triple-flat-conch-lobe-ear-setup-f28e160a.png,10,/artists/katelyn-cole/ | /cartilage_piercing_las_vegas_authority_guide/ | /ear_piercing_las_vegas_authority_guide/ | /frog_eyes_tongue_piercing_las_vegas_authority_guide/ | /genital_piercing_las_vegas_authority_guide/ | /how_much_do_tattoos_cost_in_las_vegas_authority_guide/ | /lip_piercing_las_vegas_authority_guide/ | /piercing-shop-standards/ | /snake_bites_piercing_las_vegas_authority_guide/ | /studio_gallery/,Shared branding/studio asset,ALLOW_SHARED
/studio_gallery/triple-flat-conch-lobe-ear-setup-f28e160a.webp,10,/artists/katelyn-cole/ | /cartilage_piercing_las_vegas_authority_guide/ | /ear_piercing_las_vegas_authority_guide/ | /frog_eyes_tongue_piercing_las_vegas_authority_guide/ | /genital_piercing_las_vegas_authority_guide/ | /how_much_do_tattoos_cost_in_las_vegas_authority_guide/ | /lip_piercing_las_vegas_authority_guide/ | /piercing-shop-standards/ | /snake_bites_piercing_las_vegas_authority_guide/ | /studio_gallery/,Shared branding/studio asset,ALLOW_SHARED
/studio_gallery/nostril-stud-on-smiling-client-dd626b1d.webp,9,/anti_eyebrow_piercing_las_vegas_authority_guide/ | /artists/katelyn-cole/ | /high_nostril_piercing_las_vegas_authority_guide/ | /las-vegas-tattoo-resource-center/ | /nose_piercing_las_vegas_authority_guide/ | /nostril_piercing_las_vegas_authority_guide/ | /piercing-shop-standards/ | /studio_gallery/ | /tattoo_shop_near_las_vegas_airport/,Shared branding/studio asset,ALLOW_SHARED
/artists/katelyn-cole/piercing-portfolio/katelyn-helix-piercing-02.webp,8,/ear_lobe_piercing_las_vegas_authority_guide/ | /ear_piercing_guide_las_vegas/ | /ear_piercing_las_vegas_authority_guide/ | /forward_helix_piercing_las_vegas_authority_guide/ | /helix-piercing-las-vegas/ | /katelyn_sleeping_on_helix_las_vegas_authority_guide/ | /knowledge/can-you-swim-after-ear-piercing/ | /upper_lobe_piercing_las_vegas_authority_guide/,Use only where the asset directly proves the page intent,REVIEW_OVERUSE
/artists/katelyn-cole/piercing-portfolio/katelyn-upper-ear-piercing-02.webp,8,/ear_lobe_piercing_las_vegas_authority_guide/ | /ear_piercing_guide_las_vegas/ | /ear_piercing_las_vegas_authority_guide/ | /forward_helix_piercing_las_vegas_authority_guide/ | /helix-piercing-las-vegas/ | /katelyn_sleeping_on_helix_las_vegas_authority_guide/ | /knowledge/can-you-swim-after-ear-piercing/ | /upper_lobe_piercing_las_vegas_authority_guide/,Use only where the asset directly proves the page intent,REVIEW_OVERUSE
